Asset ID,Type,File path,Cue key,Bus,Origin / design,Licence,Variation,Looping
SFX_ENERGY_COLLECT_01,SFX,assets/audio/sfx/energy_collect/energy_collect_01.wav,energy_collect,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/3,one-shot
SFX_ENERGY_COLLECT_02,SFX,assets/audio/sfx/energy_collect/energy_collect_02.wav,energy_collect,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/3,one-shot
SFX_ENERGY_COLLECT_03,SFX,assets/audio/sfx/energy_collect/energy_collect_03.wav,energy_collect,UI,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/3,one-shot
SFX_CHEST_OPEN_01,SFX,assets/audio/sfx/chest_open/chest_open_01.wav,chest_open,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/3,one-shot
SFX_CHEST_OPEN_02,SFX,assets/audio/sfx/chest_open/chest_open_02.wav,chest_open,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/3,one-shot
SFX_CHEST_OPEN_03,SFX,assets/audio/sfx/chest_open/chest_open_03.wav,chest_open,SFX,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/3,one-shot
SFX_HAMMER_01,SFX,assets/audio/sfx/hammer/hammer_01.wav,hammer,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 1/8,one-shot
SFX_HAMMER_02,SFX,assets/audio/sfx/hammer/hammer_02.wav,hammer,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 2/8,one-shot
SFX_HAMMER_03,SFX,assets/audio/sfx/hammer/hammer_03.wav,hammer,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 3/8,one-shot
SFX_HAMMER_04,SFX,assets/audio/sfx/hammer/hammer_04.wav,hammer,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 4/8,one-shot
SFX_HAMMER_05,SFX,assets/audio/sfx/hammer/hammer_05.wav,hammer,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 5/8,one-shot
SFX_HAMMER_06,SFX,assets/audio/sfx/hammer/hammer_06.wav,hammer,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 6/8,one-shot
SFX_HAMMER_07,SFX,assets/audio/sfx/hammer/hammer_07.wav,hammer,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 7/8,one-shot
SFX_HAMMER_08,SFX,assets/audio/sfx/hammer/hammer_08.wav,hammer,Characters,Original deterministic procedural synthesis,Project-owned original; no third-party material,variant 8/8,one-shot
